Timestamp,A_Bangkok,B_GenZ,C_OnlinePurchase,Gender,Age,Education,Occupation,Income,BuyFrequency,DecisionTime,StoreType,PriceRange,InfoSource,Budget,IV1_1_Accuracy,IV1_2_DetailedReview,IV1_3_BrandComparison,IV1_4_NewProducts,IV1_5_FasterDecision,IV2_1_FunContent,IV2_2_PresentationStyle,IV2_3_MakeupInspiration,IV2_4_CreativeInfluencer,IV3_1_Knowledge,IV3_2_RealisticResults,IV3_3_SponsoredDisclosure,IV4_1_AccurateInfo,IV4_2_HonestReview,IV4_3_ProductDisclosure,IV4_4_ProsAndCons,IV4_5_BeautyImage,IV5_1_PersonalityFit,IV5_2_ReviewSkill,IV5_3_MakeupStyle,IV5_4_Approachable,IV5_5_CredibleImage,IV6_1_SkinType,IV6_2_Lifestyle,IV6_3_CosmeticPreference,IV6_4_PriceLevel,DV1_FutureIntent,DV2_TopChoice,DV3_CredibilityDriven,DV4_ReviewDriven,DV5_Repurchase,Comments
2026/03/12 21:34:10,1,1,1,2,2,2,1,3,4,1,1,2,1,2,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,ไม่มี
2026/03/12 21:52:32,1,1,1,2,2,2,1,2,4,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-
2026/03/12 22:33:21,1,1,1,2,2,2,1,2,4,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,ไม่มี
2026/03/12 22:33:44,1,1,1,2,2,2,1,3,2,3,1,1,1,3,4,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,5,5,5,5,5,ดีจ้าาาา
2026/03/20 18:18:19,1,1,1,1,2,2,1,3,2,4,1,2,1,2,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,ไม่มีครับ
2026/03/20 18:25:14,1,1,1,2,2,2,1,2,3,1,1,2,1,2,4,4,5,4,4,4,5,4,3,4,4,5,4,5,4,4,5,4,5,4,4,5,5,4,4,5,4,5,5,5,5,แต่งหน้าเริ่ดๆๆๆ
2026/03/20 18:27:10,1,1,1,2,2,2,1,2,3,1,1,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,ไม่มีค่า
2026/03/20 18:31:43,0,1,1,2,2,2,1,3,3,1,1,1,1,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,4,4,5,4,❌
2026/03/20 18:32:17,1,1,1,2,2,2,1,2,2,2,1,3,1,2,3,4,4,3,3,5,4,4,5,5,4,5,4,4,4,4,4,4,3,4,4,5,3,4,3,3,3,4,4,3,5,-
2026/03/20 18:33:48,0,1,1,2,1,1,1,1,2,4,2,1,1,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-
2026/03/20 18:34:26,1,1,1,2,2,2,1,2,2,2,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-
