Timestamp,A.ท่านอาศัยอยู่ในกรุงเทพมหานครหรือไม่,B.ท่านเกิดในช่วงพ.ศ 2540 - 2555 ( ค.ศ 1997 - 2012 ) อายุระหว่าง 14 - 29 ปีหรือไม่,C.ท่านเคยมีประสบการณ์การเลือกซื้อเครื่องสำอางบนช่องทางออนไลน์ตามคำแนะนำของอินฟลูเอนเซอร์ในช่วง 1 เดือนหรือไม่,1.เพศ,2.อายุ,3.ระดับการศึกษา,4.อาชีพ,5.รายได้ต่อเดือน,6.ท่านเลือกซื้อเครื่องสำอางผ่านช่องทางออนไลน์บ่อยแค่ไหน,7.โดยส่วนใหญ่ท่านใช้เวลลา การตัดสินใจเลือกซื้อเครื่องสำอางบนช่องทางออนไลน์นานแค่ไหน,8. ประเภทของร้านค้าออนไลน์ที่ท่านเลือกใช้บริการมากที่สุด,9. ราคาของเครื่องสำอางที่ท่านซื้อเป็นประจำ,10. ท่านค้นหาข้อมูลหรือรีวิวเกี่ยวกับเครื่องสำอางผ่านช่องทางใดมากที่สุด,11. งบประมาณในการเลือกซื้อเครื่องสำอางของท่านในแต่ละครั้ง ตั้งงบไว้อยู่ที่เท่าไหร่,3.1 ด้านความคิด (Informative value) [3.1.1 ข้อมูลเครื่องสำอางที่อินฟลูเอนเซอร์นำเสนอมีความถูกต้องและน่าเชื่อถือ],3.1 ด้านความคิด (Informative value) [3.1.2 การรีวิวการให้รายละเอียดครบถ้วน (เช่นเนื้อสัมผัสผลลัพธ์หลังใช้)],3.1 ด้านความคิด (Informative value) [3.1.3 ข้อมูลจากอินฟลูเอนเซอร์ ช่วยให้ การเปรียบเทียบผลิตภัณฑ์แต่ละแบรนด์ได้ง่ายขึ้น],3.1 ด้านความคิด (Informative value) [3.1.4 ข้อมูลช่วยให้ท่านทราบถึงสินค้าออกใหม่ในขณะนั้น],3.1 ด้านความคิด (Informative value) [3.1.5 การนำเสนอของอินฟลูเอนเซอร์ช่วยให้ท่านตัดสินใจได้รวดเร็วยิ่งขึ้น],3.2 คุณค่าด้านความบันเทิง (Entertainment value) [3.2.1 เนื้อหาการรีวิวเครื่องสำอางมีความสนุกสนานน่าติดตาม],3.2 คุณค่าด้านความบันเทิง (Entertainment value) [3.2.2 สไตล์การนำเสนอช่วยให้ท่านสนใจสินค้ามากขึ้น],3.2 คุณค่าด้านความบันเทิง (Entertainment value) [3.2.3 รู้สึกสนุกและได้รับแรงบันดาลใจในการแต่งหน้าจากอินฟลูเอนเซอร์],3.2 คุณค่าด้านความบันเทิง (Entertainment value) [3.2.4 อินฟลูเอนเซอร์ที่ท่านชื่นชอบมีความคิดสร้างสรรค์ทำให้อยากติดตามต่อไป],3.3 ความเชี่ยวชาญ (Expertise) [3.3.1อินฟลูเอ็นเซอร์ มีความรู้ความเชี่ยวชาญในด้านเครื่องสำอางและเทคนิคต่างๆ],3.3 ความเชี่ยวชาญ (Expertise) [3.3.2 รีวิวมีความน่าเชื่อถือและแสดงผลลัพธ์ตามความเป็นจริง],3.3 ความเชี่ยวชาญ (Expertise) [3.3.3 แจ้งข้อมูลอย่างโปร่งใสกรณีเป็นสินค้าที่ได้รับการจ้างรีวิว],3.4 ความเชื่อถือ (Trustworthiness) [3.4.1อินฟลูเอ็นเซอร์ ให้ข้อมูลเกี่ยวกับเครื่องสำอางอย่างถูกต้องและชัดเจน],3.4 ความเชื่อถือ (Trustworthiness) [3.4.2 อินฟลูเอ็นเซอร์ รีวิวตามความเป็นจริง],3.4 ความเชื่อถือ (Trustworthiness) [3.4.3 อินฟลูเอ็นเซอร์เปิดเผยการได้รับผลผลิตผลิตภัณฑ์อย่างโปร่งใส],3.4 ความเชื่อถือ (Trustworthiness) [3.4.4 อินฟลูเอ็นเซอร์ ข้อดีและข้อเสียของสินค้า],3.4 ความเชื่อถือ (Trustworthiness) [3.4.5 อินฟลูเอ็นเซอร์ มีภาพลักษณ์ที่น่าเชื่อถือในด้านความงาม],3.5 ความดึงดูด (Attractiveness ) [3.5.1อินฟลูเอ็นเซอร์ มีบุคลิกภาพที่เหมาะสมกับผลิตภัณฑ์],3.5 ความดึงดูด (Attractiveness ) [3.5.2 อินฟลูเอ็นเซอร์ มีทักษะในการรีวิวที่น่าสนใจ],3.5 ความดึงดูด (Attractiveness ) [3.5.3 อินฟลูเอ็นเซอร์ มีสไตล์การแต่งหน้าที่ดึงดูด],3.5 ความดึงดูด (Attractiveness ) [3.5.4 อินฟลูเอ็นเซอร์ มีความเป็นธรรมชาติและเข้าถึงง่าย],3.5 ความดึงดูด (Attractiveness ) [3.5.5 อินฟลูเอ็นเซอร์ มีภาพลักษณ์ที่น่าเชื่อถือในด้านความงาม],3.6 ความเหมือน (Similarly) [3.6.1รู้สึกว่าอินฟลูเอ็นเซอร์ มีสภาพผิวคล้ายกับตนเอง],3.6 ความเหมือน (Similarly) [3.6.2รู้สึกว่าอินฟลูเอ็นเซอร์ มีไลฟ์สไตล์ใกล้เคียงกับตนเอง],3.6 ความเหมือน (Similarly) [3.6.3 มีความชอบด้านเครื่องสำอางคล้ายกับ อินฟลูเอ็นเซอร์],3.6 ความเหมือน (Similarly) [3.6.4 อินฟลูเอ็นเซอร์ เลือกใช้ผลิตภัณฑ์ในระดับราคาที่ใกล้เคียงกับตนเอง],4.1ความตั้งใจในการเลือกเรื่องแบบผ่านช่องทางออนไลน์ของกลุ่มเจนซี  [4.1.1 ท่านมีความตั้งใจที่จะซื้อเครื่องสำอางผ่านช่องทางออนไลน์ในอนาคต],4.1ความตั้งใจในการเลือกเรื่องแบบผ่านช่องทางออนไลน์ของกลุ่มเจนซี  [4.1.2 เครื่องสำอางที่อินฟลูเซอร์แนะนำเป็นตัวเลือกอันดับต้นต้นที่เราสนใจ],4.1ความตั้งใจในการเลือกเรื่องแบบผ่านช่องทางออนไลน์ของกลุ่มเจนซี  [4.1.3 ท่านมีแนวโน้มจะซื้อเครื่องสำอางทางออนไลน์จากความน่าเชื่อถือของอินฟลูเซอร์ที่ท่านติดตาม],4.1ความตั้งใจในการเลือกเรื่องแบบผ่านช่องทางออนไลน์ของกลุ่มเจนซี  [4.1.4 ตัดสินใจซื้อเครื่องสำอางออนไลน์จากรีวิวหรือคำแนะนำของอินฟลูเซอร์],4.1ความตั้งใจในการเลือกเรื่องแบบผ่านช่องทางออนไลน์ของกลุ่มเจนซี  [4.1.5 ท่านมีความตั้งใจซื้อซ้ำเครื่องสำอางแบรนด์เดิมหากได้รับการแนะนำจากอินฟลูเอ็นเซอร์ที่เชื่อถือได้],ข้อเสนอแนะและความคิดเห็นอื่นๆ (Purchase intention),3.3 ความเชี่ยวชาญ (Expertise) [3.3.1 อินฟลูเอ็นเซอร์ มีความรู้ความเชี่ยวชาญในด้านเครื่องสำอางและเทคนิคต่างๆ],3.3 ความเชี่ยวชาญ (Expertise) [3.3.2 รีวิวมีความน่าเชื่อถือและแสดงผลลัพธ์ตามความเป็นจริง] 2,3.3 ความเชี่ยวชาญ (Expertise) [3.3.3 แจ้งข้อมูลอย่างโปร่งใสกรณีเป็นสินค้าที่ได้รับการจ้างรีวิว] 2,3.4 ความเชื่อถือ (Trustworthiness) [3.4.1อินฟลูเอ็นเซอร์ ให้ข้อมูลเกี่ยวกับเครื่องสำอางอย่างถูกต้องและชัดเจน] 2,3.4 ความเชื่อถือ (Trustworthiness) [3.4.2 อินฟลูเอ็นเซอร์ รีวิวตามความเป็นจริง] 2,3.4 ความเชื่อถือ (Trustworthiness) [3.4.3 อินฟลูเอ็นเซอร์เปิดเผยการได้รับผลผลิตผลิตภัณฑ์อย่างโปร่งใส] 2,3.4 ความเชื่อถือ (Trustworthiness) [3.4.4 อินฟลูเอ็นเซอร์เปิดเผยข้อดีและข้อเสียของสินค้า],3.4 ความเชื่อถือ (Trustworthiness) [3.4.5 อินฟลูเอ็นเซอร์ มีภาพลักษณ์ที่น่าเชื่อถือในด้านความงาม] 2,3.5 ความดึงดูด (Attractiveness ) [3.5.1 อินฟลูเอ็นเซอร์ มีบุคลิกภาพที่เหมาะสมกับผลิตภัณฑ์],3.5 ความดึงดูด (Attractiveness ) [3.5.2 อินฟลูเอ็นเซอร์ มีทักษะในการรีวิวที่น่าสนใจ] 2,3.5 ความดึงดูด (Attractiveness ) [3.5.3 อินฟลูเอ็นเซอร์ มีสไตล์การแต่งหน้าที่ดึงดูด] 2,3.5 ความดึงดูด (Attractiveness ) [3.5.4 อินฟลูเอ็นเซอร์ มีความเป็นธรรมชาติและเข้าถึงง่าย] 2,3.5 ความดึงดูด (Attractiveness ) [3.5.5 อินฟลูเอ็นเซอร์ มีภาพลักษณ์ที่น่าเชื่อถือในด้านความงาม] 2
3/12/2026 20:03:21,ไม่,ไม่,ไม่,2.หญิง,3.ระหว่าง 25 - 29 ปี,3.ปริญญาโท,2.ข้าราชการ / พนักงานเอกชน รัฐบาล,"2. 5,001 - 15,000 บาท / เดือน",3. 3-4 ครั้งต่อเดือน,3. ภายใน 5 วัน,2. ร้านค้าทั่วไป,2. ราคาระดับปานกลาง,3.Facebook,"2. 501 - 1,000 บาท",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 20:09:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:13:24,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"2. 5,001 - 15,000 บาท / เดือน",2. 1-2 ครั้งต่อเดือน,2. ภายใน 3 วัน,1. แพลตฟอร์มร้านค้าโดยตรง (official store),2. ราคาระดับปานกลาง,1.TikTok,"3. 1,001 - 2,500 บาท",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ดีมาก,,,,,,,,,,,,,
3/12/2026 21:16:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:21:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:22:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:23:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:24:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:24:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:28:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:29:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/12/2026 21:34:10,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"3.มากกว่า 15,000 บาท / เดือน",4. ทุกสัปดาห์,1. ตัดสินใจทันที,1. แพลตฟอร์มร้านค้าโดยตรง (official store),2. ราคาระดับปานกลาง,1.TikTok,"2. 501 - 1,000 บาท",5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,,,,,,ไม่มี,,,,,,,,,,,,,
3/12/2026 21:52:32,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"2. 5,001 - 15,000 บาท / เดือน",4. ทุกสัปดาห์,1. ตัดสินใจทันที,1. แพลตฟอร์มร้านค้าโดยตรง (official store),2. ราคาระดับปานกลาง,1.TikTok,"2. 501 - 1,000 บาท",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,-,,,,,,,,,,,,,
3/12/2026 22:33:21,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"2. 5,001 - 15,000 บาท / เดือน",4. ทุกสัปดาห์,1. ตัดสินใจทันที,1. แพลตฟอร์มร้านค้าโดยตรง (official store),2. ราคาระดับปานกลาง,1.TikTok,"2. 501 - 1,000 บาท",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,ไม่มี,,,,,,,,,,,,,
3/12/2026 22:33:44,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"3.มากกว่า 15,000 บาท / เดือน",2. 1-2 ครั้งต่อเดือน,3. ภายใน 5 วัน,1. แพลตฟอร์มร้านค้าโดยตรง (official store),1. ราคาเข้าถึงง่าย,1.TikTok,"3. 1,001 - 2,500 บาท",4,4,3,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,3,4,,,,,,ดีจ้าาาา,,,,,,,,,,,,,
3/20/2026 18:18:19,ใช่,ใช่,ใช่,1.ชาย,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"3.มากกว่า 15,000 บาท / เดือน",2. 1-2 ครั้งต่อเดือน,4. ภายใน 1 สัปดาห์,1. แพลตฟอร์มร้านค้าโดยตรง (official store),2. ราคาระดับปานกลาง,1.TikTok,"2. 501 - 1,000 บาท",5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,ไม่มีครับ,,,,,,,,,,,,,
3/20/2026 18:25:14,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"2. 5,001 - 15,000 บาท / เดือน",3. 3-4 ครั้งต่อเดือน,1. ตัดสินใจทันที,1. แพลตฟอร์มร้านค้าโดยตรง (official store),2. ราคาระดับปานกลาง,1.TikTok,"2. 501 - 1,000 บาท",4,4,5,4,4,4,5,4,3,4,4,5,4,5,4,4,5,4,5,4,4,5,5,4,4,5,4,5,5,5,5,แต่งหน้าเริ่ดๆๆๆ,,,,,,,,,,,,,
3/20/2026 18:27:10,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"2. 5,001 - 15,000 บาท / เดือน",3. 3-4 ครั้งต่อเดือน,1. ตัดสินใจทันที,1. แพลตฟอร์มร้านค้าโดยตรง (official store),2. ราคาระดับปานกลาง,1.TikTok,"2. 501 - 1,000 บาท",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,5,ไม่มีค่า,,,,,,,,,,,,,
3/20/2026 18:31:43,ไม่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"3.มากกว่า 15,000 บาท / เดือน",3. 3-4 ครั้งต่อเดือน,1. ตัดสินใจทันที,1. แพลตฟอร์มร้านค้าโดยตรง (official store),1. ราคาเข้าถึงง่าย,1.TikTok,"2. 501 - 1,000 บาท",4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,5,4,4,5,4,❌,,,,,,,,,,,,,
3/20/2026 18:32:17,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"2. 5,001 - 15,000 บาท / เดือน",2. 1-2 ครั้งต่อเดือน,2. ภายใน 3 วัน,1. แพลตฟอร์มร้านค้าโดยตรง (official store),3. ราคาสูง,1.TikTok,"2. 501 - 1,000 บาท",3,4,4,3,3,5,4,4,5,5,4,5,4,4,4,4,4,4,3,4,4,5,3,4,3,3,3,4,4,3,5,-,,,,,,,,,,,,,
3/20/2026 18:33:48,ไม่,ใช่,ใช่,2.หญิง,1.ระหว่าง 14 - 18 ปี,1.ตำ่กว่าปริญญาตรี,1.นักเรียน / นักศึกษา,"1. ตำ่กว่า 5,000 บาท / เดือน",2. 1-2 ครั้งต่อเดือน,4. ภายใน 1 สัปดาห์,2. ร้านค้าทั่วไป,1. ราคาเข้าถึงง่าย,1.TikTok,1.ตำ่กว่า 500 บาท,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,,,,,,,,,,,,,
3/20/2026 18:34:26,ใช่,ใช่,ใช่,2.หญิง,2.ระหว่าง 19 - 24 ปี,2.ปริญญาตรี,1.นักเรียน / นักศึกษา,"2. 5,001 - 15,000 บาท / เดือน",2. 1-2 ครั้งต่อเดือน,2. ภายใน 3 วัน,1. แพลตฟอร์มร้านค้าโดยตรง (official store),1. ราคาเข้าถึงง่าย,1.TikTok,"2. 501 - 1,000 บาท",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-,,,,,,,,,,,,,
